,title,area,price_VND,location
4,C. cư Sunrise City 106m² 2PN - Giá tốt mùa Covid,106 m² - 2 PN,"4,5 tỷ",Quận 7
5,"Bán Căn Hộ 2PN Saigonhomes , Q. Bình Tân, view HL2",65 m² - 2 PN,"1,8 tỷ",Quận Bình Tân
6,Chính Chủ 68m² 2PN ĐẸP căn sát góc,68 m² - 2 PN,"2,75 tỷ",Quận Bình Thạnh
7,CĂN 2 PHÒNG TRUNG TÂM THE SUN AVENUE 3.3TR Full nt,56 m² - 1 PN,"3,3 tỷ",Quận 2
8,Bán Rẻ Căn Hộ 2PN Vinhomes  TP Thủ Đức Giá 2t250,70 m² - 2 PN,"2,25 tỷ",Quận 9
9,"SaiGon South Residence 3pn thô bán 3,7ty btp",95 m² - 3 PN,"3,7 tỷ",Huyện Nhà Bè
10,"3PN BRILLIANT VIEW HỒ BƠI TRÀN, GIÁ MỀM 50TR/M2",141 m² - 3 PN,"7,25 tỷ",Quận Tân Phú
11,Căn hộ Saigon Pavillon 2PN 78m2 - Full nôi thất,78 m² - 2 PN,"6,5 tỷ",Quận 3
12,Căn góc có balcon Chung cư Flora Fuji 68m² 2 PN,68 m² - 2 PN,"2,45 tỷ",Quận 9
13,"Căn hộ 2PN 2WC 97m2 Him Lam Chợ Lớn, Quận 6.",97 m² - 2 PN,"3,65 tỷ",Quận 6
14,"Bán Căn hộ The View Riviera Point 147m², 8.35 tỷ",147 m² - 4 PN,"8,3 tỷ",Quận 7
15,"Căn hộ 1PN 47m2 Mỹ Đức, Q. Bình Thạnh, HCM",47 m² - 1 PN,"2,1 tỷ",Quận Bình Thạnh
16,CH Celadon City Khu Ruby 68.8m² 2PN 2WC Full NT,68.8 m² - 2 PN,"2,63 tỷ",Quận Tân Phú
17,DUY NHẤT CĂN 65M2 TẠI 9VIEW NHÀ CÓ BAN CÔNG LANMAR,65 m² - 2 PN,"1,95 tỷ",Quận 9
18,"Nhà 2 mặt tiền 76,8 m2 Chung Cư Hùng Vương",76.8 m² - 2 PN,7 tỷ,Quận 5
19,"Bán căn hộ Saigon Pavillon 1pn 55m2, full nội thất",55 m² - 1 PN,"5,3 tỷ",Quận 3
0,"BÁN CH KV 9VIEW FULL NT VIEW ĐẸP, NH HT VAY.",58 m² - 2 PN,"1,4 tỷ",Quận 9
1,"Căn Hộ Mới Nhận P7, Q8, Tầng 17 View Sông 2PN 2WC",62 m² - 2 PN,649 triệu,Quận 8
2,RAO GIÁ THẬT BÁN CĂN 75m2 GIÁ CỰC TỐT AKARI CITY,75 m² - 2 PN,"2,58 tỷ",Quận Bình Tân
3,CẦN BÁN CĂN HỘ LAVITA CHARM 3PN 87M2 GIÁ 3.5 TỶ,87 m² - 3 PN,"3,5 tỷ",Quận Thủ Đức
4,C. cư Sunrise City 106m² 2PN - Giá tốt mùa Covid,106 m² - 2 PN,"4,5 tỷ",Quận 7
5,"Bán Căn Hộ 2PN Saigonhomes , Q. Bình Tân, view HL2",65 m² - 2 PN,"1,8 tỷ",Quận Bình Tân
6,Chính Chủ 68m² 2PN ĐẸP căn sát góc,68 m² - 2 PN,"2,75 tỷ",Quận Bình Thạnh
7,CĂN 2 PHÒNG TRUNG TÂM THE SUN AVENUE 3.3TR Full nt,56 m² - 1 PN,"3,3 tỷ",Quận 2
8,Bán Rẻ Căn Hộ 2PN Vinhomes  TP Thủ Đức Giá 2t250,70 m² - 2 PN,"2,25 tỷ",Quận 9
9,"SaiGon South Residence 3pn thô bán 3,7ty btp",95 m² - 3 PN,"3,7 tỷ",Huyện Nhà Bè
10,"3PN BRILLIANT VIEW HỒ BƠI TRÀN, GIÁ MỀM 50TR/M2",141 m² - 3 PN,"7,25 tỷ",Quận Tân Phú
11,Căn hộ Saigon Pavillon 2PN 78m2 - Full nôi thất,78 m² - 2 PN,"6,5 tỷ",Quận 3
12,Căn góc có balcon Chung cư Flora Fuji 68m² 2 PN,68 m² - 2 PN,"2,45 tỷ",Quận 9
13,"Căn hộ 2PN 2WC 97m2 Him Lam Chợ Lớn, Quận 6.",97 m² - 2 PN,"3,65 tỷ",Quận 6
14,"Bán Căn hộ The View Riviera Point 147m², 8.35 tỷ",147 m² - 4 PN,"8,3 tỷ",Quận 7
15,"Căn hộ 1PN 47m2 Mỹ Đức, Q. Bình Thạnh, HCM",47 m² - 1 PN,"2,1 tỷ",Quận Bình Thạnh
16,CH Celadon City Khu Ruby 68.8m² 2PN 2WC Full NT,68.8 m² - 2 PN,"2,63 tỷ",Quận Tân Phú
17,DUY NHẤT CĂN 65M2 TẠI 9VIEW NHÀ CÓ BAN CÔNG LANMAR,65 m² - 2 PN,"1,95 tỷ",Quận 9
18,"Nhà 2 mặt tiền 76,8 m2 Chung Cư Hùng Vương",76.8 m² - 2 PN,7 tỷ,Quận 5
19,"Bán căn hộ Saigon Pavillon 1pn 55m2, full nội thất",55 m² - 1 PN,"5,3 tỷ",Quận 3
0,CĂN HỘ 3PN & 2WC ĐẢO KIM CƯƠNG Q. 2 117M2,117 m² - 3 PN,"10,5 tỷ",Quận 2
1,Chung cư Quận 9 - Thành phố Thủ Đức Giá Tốt,30 m² - 1 PN,"1,3 tỷ",Quận 9
2,Bán căn Hộ Sen Hồng 1pn block B giá 1.1ty sổ sẵn,39 m² - 1 PN,"1,1 tỷ",Quận Thủ Đức
3,Căn hộ tẩng 33 River Gate Q.4  74m2. 2PN 2WC B3302,75 m² - 2 PN,"4,6 tỷ",Quận 4
4,Giỏ hàng 50 căn CitiEsto -Q2 đang giao nhà giá tốt,59 m² - 2 PN,"1,655 tỷ",Quận 2
5,Bán Richmond 3pn căn góc view Q1 4.9 tỷ,86 m² - 3 PN,"4,9 tỷ",Quận Bình Thạnh
6,Hỗ trợ cho THUÊ  và CHUYỂN NHƯỢNG căn hộ 24/7,40 m² - 1 PN,"3,5 triệu",Quận 9
7,Bán nhà hoặc cho thuê dài hạn 367C bình đông P15Q8,54 m² - 4 PN,500 tỷ,Quận 8
8,"mua nhà Sài Gòn 600tr, căn 2pn 60m2",60 m² - 2 PN,600 triệu,Huyện Bình Chánh
9,Nhà bán 4x10m giá 1ty100tr 1/đường vĩnh lộc,40 m² - 2 PN,"1,1 tỷ",Huyện Bình Chánh
